Date,Cash Ratio,Gross Margin,Revenue,Inventory to Cash Days,Basic EPS,Adj Close,Stochastic Oscillator,Relative Strength Index 14,Sma 12,Sma 26,Cci 30
2008-09-26,0.9543643749472855,0.8141102192165831,0.7760596093039916,0.7163575456550191,0.17340644276901987,0.15227036454936907,0.19246434375272353,0.15760380158436518,0.026100782010885247,0.034503272950211675,0.2819597932903965
2008-09-29,0.0,0.0,0.30204933801302397,0.0,0.0,0.09148028770073219,0.08584561292982437,0.019386108330822268,0.024023049117818385,0.033089890724699464,0.20664728441181018
2008-09-30,0.0,0.0,0.30204933801302397,0.0,0.0,0.11511593162380125,0.24942747619966837,0.13735384697410927,0.022476256034821722,0.03179731029489784,0.23982476161084493
2008-10-01,0.0,0.0,0.30204933801302397,0.0,0.0,0.10256720252972626,0.1695151929361206,0.11185699277414524,0.021106592229808405,0.030498587816623526,0.24973527099358211
2008-10-02,0.0,0.0,0.30204933801302397,0.0,0.0,0.07600683719174595,0.0020969173289680293,0.06614751959712538,0.019362505597324244,0.028992863929722276,0.2389262423804729
2008-10-03,0.0,0.0,0.30204933801302397,0.0,0.0,0.06654447825742482,0.04883965296955352,0.052003798084107954,0.018013885213630367,0.027404011880701826,0.24064580944067165
2008-10-06,0.0,0.0,0.30204933801302397,0.0,0.0,0.06991934356451432,0.18708086173382057,0.06758402127444947,0.016437720306180768,0.025856111158200343,0.23436960399383172
2008-10-07,0.0,0.0,0.30204933801302397,0.0,0.0,0.040377810984672205,0.02859165094981821,0.02502401345255175,0.01416883192779146,0.024210543163143673,0.2474585181137108
2008-10-08,0.0,0.0,0.30204933801302397,0.0,0.0,0.042545342122304826,0.0702324162679425,0.034588643494974904,0.012359857645120742,0.022646261867378507,0.25003319582721584
2008-10-09,0.0,0.0,0.30204933801302397,0.0,0.0,0.038924204648007804,0.056074779542351016,0.029457451698104882,0.010689427782617255,0.021044715796516397,0.2626176006521531
2008-10-10,0.0,0.0,0.30204933801302397,0.0,0.0,0.06568701522182468,0.23228331483661177,0.1530686277406845,0.009290389869645005,0.019725721870949446,0.28632229581928625
2008-10-13,0.0,0.0,0.30204933801302397,0.0,0.0,0.10576666922917653,0.5073308105773549,0.31739971079353385,0.008340306593628779,0.018703615518347715,0.35079397593043166
2008-10-14,0.0,0.0,0.30204933801302397,0.0,0.0,0.08800972306249291,0.38320936062813565,0.27000730897481773,0.007281052548703067,0.01760124663885419,0.3642525872678928
2008-10-15,0.0,0.0,0.30204933801302397,0.0,0.0,0.06932274253606707,0.2890624340820107,0.22678973021535334,0.006960557912656184,0.016501130213486617,0.34171212880241314
2008-10-16,0.0,0.0,0.30204933801302397,0.0,0.0,0.08146305161948597,0.48702426283510136,0.27186402933702575,0.0064445225463379795,0.015483117777838616,0.3379564533816382
2008-10-17,0.0,0.0,0.30204933801302397,0.0,0.0,0.06758922259934967,0.3949044443993628,0.23887547954075294,0.005930678432390621,0.014351879052407509,0.32837081609758695
2008-10-20,0.0,0.0,0.30204933801302397,0.0,0.0,0.07085888085212852,0.42802537745950325,0.2515261171994576,0.005857898072018014,0.013317895755111797,0.34569047273099796
2008-10-21,0.0,0.0,0.30204933801302397,0.0,0.0,0.048319265669363905,0.20668776624808585,0.20041392539021338,0.005613252828426268,0.012317287425285945,0.334875560497573
2008-10-22,0.0,0.0,0.30204933801302397,0.0,0.0,0.06590958299380802,0.37802552236400333,0.26712610049802993,0.0055575713610848945,0.01143666146793885,0.35563643186102706
2008-10-23,0.0,0.0,0.30204933801302397,0.0,0.0,0.07020149289798147,0.42133747745341693,0.2836670686478764,0.005955229318947218,0.010830604144586491,0.3553298558977046
2008-10-24,0.0,0.0,0.30204933801302397,0.0,0.0,0.06434851822237657,0.3624204223498026,0.2677370966949785,0.006244157224560732,0.010058496312565389,0.34941900087472566
2008-10-27,0.0,0.0,0.30204933801302397,0.0,0.0,0.0503315849845053,0.22579598828547454,0.23149905734542156,0.006391032331367433,0.009058912155139223,0.3495857225965632
2008-10-28,0.0,0.0,0.30204933801302397,0.0,0.0,0.07542196101141137,0.4748406775021049,0.33164811725140864,0.006527385499163829,0.00842132345994851,0.37457338121533357
2008-10-29,0.0,0.0,0.30204933801302397,0.0,0.0,0.08939677708956155,0.6226116115765764,0.38476930347608146,0.006277040167860453,0.007964937564963945,0.4303303521909654
2008-10-30,0.0,0.0,0.30204933801302397,0.0,0.0,0.10793661041345949,0.8243199433942913,0.4527057780149807,0.006582187816689884,0.007603145998774725,0.47764094573195054
2008-10-31,0.0,0.0,0.30204933801302397,0.0,0.0,0.09822025302091691,0.7112422856023219,0.41544820531992466,0.007004836464367099,0.0071047867376753445,0.4707675056528346
2008-11-03,0.0,0.0,0.30204933801302397,0.0,0.0,0.09641240946981612,0.8011406539490247,0.4085502123299706,0.0072271229871754775,0.006669080935197438,0.4738604882026016
2008-11-04,0.0,0.0,0.30204933801302397,0.0,0.0,0.10779810469600125,0.9543725112405894,0.45359644459015613,0.00782295455774302,0.0067864022083361395,0.5128755792498827
2008-11-05,0.0,0.0,0.30204933801302397,0.0,0.0,0.08569394175390864,0.6619771991643651,0.36805972706759443,0.008036032614200207,0.006574282283795054,0.480307639910216
2008-11-06,0.0,0.0,0.30204933801302397,0.0,0.0,0.0729160316514214,0.40715585080110017,0.32623140009570273,0.008369680701587705,0.0063691240442389375,0.42424218147308157
2008-11-07,0.0,0.0,0.30204933801302397,0.0,0.0,0.07023283049384248,0.36820662425664563,0.3177008971321338,0.008429746043774335,0.006331040699031603,0.40205482104399637
